asin,title,link,price_whole,price_fraction,rating,num_ratings
B095T14D4S,,,2601.,11,4.3 out of 5 stars,6K+ bought in past month
B095T14D4S,,,,,,
B0C1LCYRJ9,,,3901.,83,4.1 out of 5 stars,1K+ bought in past month
B0C1LCYRJ9,,,,,,
B0GHM7LCBV,,,741.,09,4.4 out of 5 stars,10K+ bought in past month
B0BTYCRJSS,,,650.,03,4.4 out of 5 stars,Products highlighted as 'Overall Pick' are:
B0BTYCRJSS,,,,,,
B0GQS7SKRQ,,,454.,93,5.0 out of 5 stars,300+ bought in past month
B095T14D4S,,,2601.,11,4.3 out of 5 stars,6K+ bought in past month
B095T14D4S,,,,,,
B0CXGXT6W8,,,809.,05,4.5 out of 5 stars,6K+ bought in past month
B0CXGXT6W8,,,,,,
B0CRTYZG5C,,,910.,18,4.4 out of 5 stars,10K+ bought in past month
B0CRTYZG5C,,,,,,
B0C1LCYRJ9,,,3901.,83,4.1 out of 5 stars,1K+ bought in past month
B0C1LCYRJ9,,,,,,
B0FNWCYLZN,,,1202.,84,4.5 out of 5 stars,9K+ bought in past month
B0FNWCYLZN,,,,,,
B09DT48V16,,,25.,99,4.4 out of 5 stars.,
B09LD2D1TV,,,25.,99,4.4 out of 5 stars.,
B09LD44NW6,,,25.,99,4.4 out of 5 stars.,
B0CRTR3PMF,,,910.,18,4.4 out of 5 stars,7K+ bought in past month
B0CRTR3PMF,,,,,,
B0FHWGB7FW,,,715.,07,4.5 out of 5 stars,10K+ bought in past month
B0FHWGB7FW,,,,,,
B0GF8K5QBN,,,617.,52,4.6 out of 5 stars,4K+ bought in past month
B0DGJ7HYG1,,,,,4.6 out of 5 stars,10K+ bought in past month
B0FNWCYLZN,,,1202.,84,4.5 out of 5 stars,9K+ bought in past month
B0FNWCYLZN,,,,,,
B0G1PJLWLZ,,,8129.,17,4.6 out of 5 stars,8K+ bought in past month
B0G1PJLWLZ,,,,,,
B0FH9LQH9W,,,714.,10,4.4 out of 5 stars,2K+ bought in past month
B0FH9LQH9W,,,,,,
B0GVQZ4M5V,,,454.,60,4.4 out of 5 stars,Typical:
B0GVQZ4M5V,,,,,,
B0GVM58Y2Y,,,585.,00,5.0 out of 5 stars,List Price:
B095T14D4S,,,2601.,11,4.3 out of 5 stars,6K+ bought in past month
B095T14D4S,,,,,,
B0FHWKYT89,,,780.,11,4.5 out of 5 stars,10K+ bought in past month
B0FHWKYT89,,,,,,
B0GVM58Y2Y,,,585.,00,5.0 out of 5 stars,List Price:
