asin,title,link,price_whole,price_fraction,rating,num_ratings
B0G8WSKP9W,,,646.,78,4.8 out of 5 stars,300+ bought in past month
B0G51VXQ3X,,,324.,53,4.8 out of 5 stars,400+ bought in past month
B0G51VXQ3X,,,,,,
B0GVGSP7DT,,,519.,96,4.7 out of 5 stars,New on Amazon in past month
B0GF7Q673X,,,1495.,50,4.6 out of 5 stars,10K+ bought in past month
B0GF7Q673X,,,,,,
B0GQYVSTH9,,,715.,07,4.8 out of 5 stars,Typical:
B0GQYVSTH9,,,,,,
B095T14D4S,,,2601.,11,4.3 out of 5 stars,6K+ bought in past month
B095T14D4S,,,,,,
B0FH9LQH9W,,,714.,10,4.4 out of 5 stars,2K+ bought in past month
B0FH9LQH9W,,,,,,
B0FHWGB7FW,,,715.,07,4.5 out of 5 stars,10K+ bought in past month
B0FHWGB7FW,,,,,,
B0GJ3CHQXZ,,,3219.,28,4.1 out of 5 stars,Save THB 325.18
B0GJ3CHQXZ,,,,,,
B0GMNRGGZP,,,1950.,75,4.3 out of 5 stars,Save THB 325.18
B0GMNRGGZP,,,,,,
B0GQYVSTH9,,,715.,07,4.8 out of 5 stars,Typical:
B0GQYVSTH9,,,,,,
B0FHWGB7FW,,,715.,07,4.5 out of 5 stars,10K+ bought in past month
B0FHWGB7FW,,,,,,
B09FLNSYDZ,,,845.,14,4.4 out of 5 stars,10K+ bought in past month
B09FLNSYDZ,,,,,,
B0C2W1KLSS,,,,,4.1 out of 5 stars,9K+ bought in past month
B0GSCXQYP9,,,2275.,93,4.7 out of 5 stars,1K+ bought in past month
B0GSCXQYP9,,,,,,
B0CRTYZG5C,,,910.,18,4.4 out of 5 stars,10K+ bought in past month
B0CRTYZG5C,,,,,,
B0GJ3CHQXZ,,,3219.,28,4.1 out of 5 stars,Save THB 325.18
B0GJ3CHQXZ,,,,,,
B0GQYVSTH9,,,715.,07,4.8 out of 5 stars,Typical:
B0GQYVSTH9,,,,,,
B0FHWGB7FW,,,715.,07,4.5 out of 5 stars,10K+ bought in past month
B0FHWGB7FW,,,,,,
B095T14D4S,,,2601.,11,4.3 out of 5 stars,6K+ bought in past month
B095T14D4S,,,,,,
B0DN11MTZ6,,,,,,
B0DN11MTZ6,,,,,,
B0GHFFCFRV,,,3901.,83,4.9 out of 5 stars,300+ bought in past month
B0GHFFCFRV,,,,,,
B0GSRXJ7ZR,,,650.,03,4.6 out of 5 stars,Typical price:
B0CYNFWD2R,,,971.,64,4.1 out of 5 stars,6K+ bought in past month
B0CYNFWD2R,,,,,,
B0FNRXZV67,,,1609.,64,4.4 out of 5 stars,4K+ bought in past month
B0FNRXZV67,,,,,,
B0GY13NQWX,,,4096.,94,,New on Amazon in past month
B0GY13NQWX,,,,,,
B0GVM58Y2Y,,,585.,00,5.0 out of 5 stars,List Price:
B0FH9ST5MC,,,740.,43,4.4 out of 5 stars,400+ bought in past month
B0FH9ST5MC,,,,,,
B0GTV85M9L,,,617.,52,4.4 out of 5 stars,1K+ bought in past month
B0GTV85M9L,,,,,,
B0D44135S2,,,1137.,80,4.4 out of 5 stars,3K+ bought in past month
B0D44135S2,,,,,,
B0D5HG7TC3,,,524.,19,4.3 out of 5 stars,6K+ bought in past month
B0D5HG7TC3,,,,,,
B0GXJCXH4G,,,422.,41,4.4 out of 5 stars,Typical price:
B0C1QWWZR4,,,,,4.2 out of 5 stars,2K+ bought in past month
B0GS1QXF36,,,617.,52,4.7 out of 5 stars,List Price:
B0FQFB8FMG,,,,,4.5 out of 5 stars,10K+ bought in past month
B0DGHMNQ5Z,,,,,4.6 out of 5 stars,10K+ bought in past month
B0CRTYZG5C,,,910.,18,4.4 out of 5 stars,10K+ bought in past month
B0CRTYZG5C,,,,,,
B0FJ5N2F9R,,,942.,70,4.3 out of 5 stars,400+ bought in past month
B0FJ5N2F9R,,,,,,
B0G5Z7T7Z9,,,812.,30,4.3 out of 5 stars,1K+ bought in past month
B0G5Z7T7Z9,,,,,,
B08DJ34QQ2,,,1202.,84,4.4 out of 5 stars,500+ bought in past month
B08DJ34QQ2,,,,,,
B0F842TDDD,,,877.,66,4.6 out of 5 stars,100+ bought in past month
B0F842TDDD,,,,,,
B0GTQ8JH1V,,,1105.,29,4.5 out of 5 stars,500+ bought in past month
B0GTQ8JH1V,,,,,,
B0GS82K8VW,,,519.,96,3.8 out of 5 stars,500+ bought in past month
B0GQYVSTH9,,,715.,07,4.8 out of 5 stars,Typical:
B0GQYVSTH9,,,,,,
B0B1LVC5VZ,,,1788.,16,4.2 out of 5 stars,3K+ bought in past month
B0B1LVC5VZ,,,,,,
B0DT2344N3,,,,,4.2 out of 5 stars,6K+ bought in past month
B0F7M3HPBD,,,,,4.2 out of 5 stars,3K+ bought in past month
B0GQYVSTH9,,,715.,07,4.8 out of 5 stars,Typical:
B0GQYVSTH9,,,,,,
B09DKC2ZXP,,,1040.,25,4.3 out of 5 stars,
B09DKC2ZXP,,,,,,
B0GS1QXF36,,,617.,52,4.7 out of 5 stars,List Price:
B0FJ5N2F9R,,,942.,70,4.3 out of 5 stars,400+ bought in past month
B0FJ5N2F9R,,,,,,
B0FH9ST5MC,,,740.,43,4.4 out of 5 stars,400+ bought in past month
B0FH9ST5MC,,,,,,
B095T14D4S,,,,,,
B0CYNVP7GV,,,809.,05,4.4 out of 5 stars,3K+ bought in past month
B0CYNVP7GV,,,,,,
B0CQXG17RL,,,1364.,78,4.3 out of 5 stars,2K+ bought in past month
B0CQXG17RL,,,,,,
B07J2Z5DBM,,,812.,62,4.3 out of 5 stars,5K+ bought in past month
B07J2Z5DBM,,,,,,
B0DZHQHDWR,,,,,3.9 out of 5 stars,1K+ bought in past month
B0CL8CJPVM,,,1950.,75,4.4 out of 5 stars,2K+ bought in past month
B0CL8CJPVM,,,,,,
B0GVM58Y2Y,,,585.,00,5.0 out of 5 stars,List Price:
B09DKC2ZXP,,,1040.,25,4.3 out of 5 stars,
B09DKC2ZXP,,,,,,
B0F2H7ZYR1,,,324.,85,4.3 out of 5 stars,2K+ bought in past month
B0F2H7ZYR1,,,,,,
B0D9BC74WH,,,357.,37,4.3 out of 5 stars,5K+ bought in past month
B0D9BC74WH,,,,,,
B0GSVCR6XR,,,3251.,47,4.9 out of 5 stars,3K+ bought in past month
B0GSVCR6XR,,,,,,
B0B844T634,,,,,3.6 out of 5 stars,8K+ bought in past month
B0CF7GYNW2,,,2846.,30,4.3 out of 5 stars,3K+ bought in past month
B0CF7GYNW2,,,,,,
B0GPVFKD7G,,,974.,89,4.7 out of 5 stars,100+ bought in past month
B0GPVFKD7G,,,,,,
B0C1BTXM9W,,,552.,48,4.3 out of 5 stars,6K+ bought in past month
B0C1BTXM9W,,,,,,
B0CRT6HQ82,,,2601.,11,4.2 out of 5 stars,5K+ bought in past month
B0CRT6HQ82,,,,,,
B0CRTYZG5C,,,910.,18,4.4 out of 5 stars,10K+ bought in past month
B0CRTYZG5C,,,,,,
B0CX1NWR6D,,,877.,34,4.4 out of 5 stars,1K+ bought in past month
B0CX1NWR6D,,,,,,
B0GVM58Y2Y,,,585.,00,5.0 out of 5 stars,List Price:
B0GS1QXF36,,,617.,52,4.7 out of 5 stars,List Price:
B0CX1NWR6D,,,877.,34,4.4 out of 5 stars,1K+ bought in past month
B0CX1NWR6D,,,,,,
B09DKC2ZXP,,,1040.,25,4.3 out of 5 stars,
B09DKC2ZXP,,,,,,
B0GMNRGGZP,,,1950.,75,4.3 out of 5 stars,Save THB 325.18
B0GMNRGGZP,,,,,,
